expense_name,expense_type,expense_amount,expense_time
Auto,Travel,23.0,Fri Jan 3 2025
Pizza,Food,300.0,Fri Jan 3 2025
Movie,Entertainment,200.0,Fri Jan 3 2025
Crocin,Pharmaceuticals,54.0,Fri Jan 3 2025
dummy1,Travel,2.0,Sat Jan 4 2025
dummy2,Groceries,2.0,Sat Jan 4 2025
dummy3,Travel,2.0,Sat Jan 4 2025
dummy4,Travel,4.0,Sat Jan 4 2025
dummy5,Food,1.0,Sat Jan 4 2025
dummyy,Food,100.0,Sat Jan 4 2025
Electric,Utilities,1250.3,Sat Jan 4 2025
Water,Utilities,2000.0,Sat Jan 4 2025
wifi,Utilities,7000.0,Sat Jan 4 2025
house,Rent,5000.0,Sat Jan 4 2025
